experiment_id,total_cost,is_steady,steady_start_time,elapsed_time,ReactorTempSP,ReactorPressSP,ProductionSP
1,87.60408845830374,True,29.5,187.7358512878418,121.9269450537184,2767.80560780124,22.814140208008865
2,88.20454518709998,True,29.55,201.4132843017578,123.54736852558418,2824.5291132605616,20.302437764836323
3,88.45005207746273,True,29.55,380.52126932144165,121.66369607946925,2801.069678473615,20.987188636732444
4,87.58966820692295,True,29.55,199.46100664138794,127.07989708322783,2813.146009878837,21.00732350111514
5,87.84993106038196,True,29.55,195.59224319458008,123.82830263464515,2735.886191933646,20.855658580117268
6,87.57712476659432,True,29.55,195.9398341178894,127.40606967419072,2842.2270760649208,20.693618274389586
7,87.25904846406834,True,29.55,193.32101225852966,124.04596502080196,2731.841678004389,22.22419122599146
8,88.26115518559189,True,29.55,209.91939067840576,121.50545974183204,2845.1465098780254,22.31068788786778
9,87.6322041110994,True,29.55,224.9038999080658,127.52576440078032,2829.0268064607403,20.453327899627297
10,87.62999584316748,True,29.55,205.7955515384674,122.38831899579009,2774.2285525396624,22.731695104675754
11,87.44696989104426,True,29.55,195.06098413467407,125.13473009175792,2775.1624513378288,20.767417464186185
12,87.78572111795727,True,29.55,323.859815120697,126.30121074505738,2807.652220943621,21.88105286409157
13,88.01119121418344,True,29.55,197.30072331428528,121.03202093191054,2757.6214753688705,20.17730906509491
14,88.04443106660179,True,29.55,195.43732500076294,120.35471626808466,2762.8142404056384,20.016732180394214
15,87.29967314270493,True,29.55,190.99575209617615,126.47992930613272,2713.4381667930897,21.91677401986048
16,87.1779222418073,True,29.55,187.9363362789154,123.25206283800084,2793.062608104849,22.971167189606977
17,88.33190018681879,True,29.55,290.0726110935211,120.08466786560668,2754.301237581953,21.58000917975249
18,87.27182806274111,True,29.55,181.81641674041748,121.33137006139974,2746.0653781124893,22.533514914340795
19,87.55631683499726,True,29.55,180.75474405288696,127.81195589903298,2816.0963548448904,21.654108422446164
20,87.34823520970136,True,29.55,190.3792531490326,125.7150023477459,2789.301015009362,21.288546992646403
21,86.72847801292475,True,29.55,190.22279405593872,126.75509254352254,2722.6445189692845,22.14347638935188
22,88.23854478304595,True,29.55,190.45769882202148,124.3293336380224,2781.826408399997,21.7446420599342
23,87.076158972472,True,29.55,210.12901496887207,124.91754475713456,2708.480249509687,20.596918216543205
24,87.93065722350698,True,29.55,198.41762137413025,122.5502086962047,2833.9270766359023,22.459147135627536
25,87.93700349540602,True,29.55,199.27600693702698,120.57242584712849,2718.830302570673,20.294169725831093
26,86.4245208104224,True,29.55,204.9542384147644,125.5249642954608,2703.5320312111667,21.43380834852731
28,86.50940603369911,True,29.55,191.34927034378052,126.02496350361598,2740.92989807667,22.68330270800923
29,88.22130336221893,True,29.55,182.3686797618866,123.1939434471643,2839.5497606961217,22.02776406494036
30,87.59400609868975,True,29.55,184.0438814163208,124.67683273859964,2729.193641104832,21.149895522489665
