experiment_id,total_cost,is_steady,steady_start_time,elapsed_time,ReactorTempSP,ReactorPressSP,ProductionSP,total_cost_new,purge_loss,product_loss,compressor_cost,steam_cost
1,87.60408845830374,True,29.5,187.7358512878418,121.9269450537184,2767.80560780124,22.814140208008865,121.71319802576768,70.82120869477131,35.89422940543304,14.844567432505508,0.15319249305782023
2,88.20454518709998,True,29.55,201.4132843017578,123.54736852558418,2824.5291132605616,20.302437764836323,104.82634278767611,68.72350268255731,20.590944323728465,15.397766074096975,0.1141297072933594
3,88.45005207746273,True,29.55,380.5212693214417,121.66369607946925,2801.069678473615,20.987188636732444,108.77652693928803,66.77247824757526,26.58140860342461,15.27391318711632,0.1487269011718381
4,87.58966820692295,True,29.55,199.46100664138797,127.07989708322783,2813.146009878837,21.00732350111514,125.88271874457095,90.98076225344732,19.750024735051696,15.030864170248677,0.12106758582325187
5,87.84993106038196,True,29.55,195.59224319458008,123.82830263464515,2735.886191933646,20.855658580117268,110.68239690751737,72.7586902482119,22.859409616687845,14.938204853872234,0.1260921887453945
6,87.57712476659432,True,29.55,195.9398341178894,127.40606967419072,2842.2270760649208,20.693618274389586,115.27725065853166,81.47335682360121,18.57746270320531,15.125925389604532,0.10050574212059726
7,87.25904846406834,True,29.55,193.3210122585297,124.04596502080196,2731.841678004389,22.22419122599146,122.6229147342531,78.95842501708356,28.816801323958874,14.718908211822727,0.12878018138794664
8,88.26115518559189,True,29.55,209.91939067840576,121.50545974183204,2845.1465098780254,22.31068788786778,120.7180342550341,71.21975635731272,34.08685804685122,15.262875021177466,0.14854482969270258
9,87.6322041110994,True,29.55,224.9038999080658,127.52576440078032,2829.0268064607403,20.453327899627297,116.9484338022993,84.33229415422846,17.424460366081643,15.085992843872647,0.10568643811655008
10,87.62999584316748,True,29.55,205.7955515384674,122.38831899579009,2774.2285525396624,22.731695104675754,125.66245644008131,76.68689030966425,33.97219501752651,14.852358829647313,0.15101228324324895
11,87.44696989104426,True,29.55,195.06098413467407,125.13473009175792,2775.1624513378288,20.767417464186185,121.70381521178,85.83399007065017,20.725341133014705,15.03270424567437,0.11177976244075014
12,87.78572111795727,True,29.55,323.859815120697,126.30121074505738,2807.652220943621,21.88105286409157,122.09548513836785,83.04354461908497,23.976012833186278,14.950311877722912,0.12561580837369749
13,88.01119121418344,True,29.55,197.30072331428528,121.03202093191054,2757.6214753688705,20.17730906509491,103.38174893764142,63.42417798131551,24.59531489105026,15.220435061774964,0.1418210035006752
14,88.04443106660179,True,29.55,195.4373250007629,120.35471626808466,2762.8142404056384,20.01673218039421,106.26176315347014,65.61254240613431,25.26312191244503,15.235392264139117,0.15070657075168128
15,87.29967314270493,True,29.55,190.99575209617612,126.47992930613272,2713.4381667930897,21.91677401986048,138.29266192544316,100.56820991150911,23.088647281416257,14.520399723686383,0.11540500883140695
16,87.1779222418073,True,29.55,187.9363362789154,123.25206283800084,2793.062608104849,22.971167189606977,121.55563754590287,74.08269353028052,32.42953245219295,14.89590226523797,0.1475092981914328
17,88.33190018681879,True,29.55,290.0726110935211,120.08466786560668,2754.301237581953,21.58000917975249,118.83340076395763,68.1019740135931,35.6078701719624,14.975776617572498,0.14777996082965256
18,87.27182806274111,True,29.55,181.81641674041748,121.33137006139974,2746.0653781124893,22.533514914340795,121.75301323298147,69.92750721956382,36.91513313051714,14.759629373255635,0.15074350964488917
19,87.55631683499726,True,29.55,180.75474405288696,127.81195589903298,2816.0963548448904,21.654108422446164,127.81772582172374,92.54806746175939,20.293105000062415,14.861692729547926,0.11486063035401507
20,87.34823520970136,True,29.55,190.3792531490326,125.7150023477459,2789.301015009362,21.288546992646403,117.69060503894899,81.5001147032707,21.052171509857153,15.009600339695975,0.12871848612516124
21,86.72847801292475,True,29.55,190.22279405593872,126.75509254352254,2722.6445189692845,22.14347638935188,129.97164198689435,92.48819562666334,22.86448258063932,14.505639976147064,0.11332380344464654
22,88.23854478304595,True,29.55,190.45769882202148,124.3293336380224,2781.826408399997,21.7446420599342,115.83334311248632,75.85771049482683,24.846731677680843,14.985944899963817,0.14295604001483672
23,87.076158972472,True,29.55,210.12901496887207,124.91754475713456,2708.480249509687,20.596918216543205,123.21106026513961,88.3619012186021,19.925066225430417,14.80869544442092,0.11539737668617724
24,87.93065722350698,True,29.55,198.41762137413025,122.5502086962047,2833.9270766359023,22.459147135627536,116.63317076589546,69.27495714125085,32.03900175546591,15.17635658214711,0.14285528703157951
25,87.93700349540602,True,29.55,199.27600693702695,120.57242584712849,2718.830302570673,20.294169725831093,116.69860913307416,74.88438454000979,26.66187133902094,15.002859150672005,0.14949410337142688
26,86.4245208104224,True,29.55,204.9542384147644,125.5249642954608,2703.5320312111667,21.43380834852731,126.5381144219124,88.86637752286137,22.913671744101848,14.646872139324172,0.1111930156250085
28,86.50940603369911,True,29.55,191.3492703437805,126.02496350361598,2740.92989807667,22.68330270800923,128.9014719036664,87.13155372538587,27.08970124294092,14.5566522695905,0.1235646657490727
29,88.22130336221893,True,29.55,182.3686797618866,123.1939434471643,2839.5497606961217,22.02776406494036,114.94691532625798,72.6230701012114,26.92552607203008,15.241505623323764,0.1568135296927404
30,87.59400609868975,True,29.55,184.0438814163208,124.67683273859964,2729.193641104832,21.149895522489665,123.5565697145014,85.5406151435568,23.033110193690604,14.85105115540084,0.13179322185315992
